able	unable
institutionalised, institutionalized	noninstitutionalised, noninstitutionalized
institutional; uninteresting; institutionalised, institutionalized	noninstitutional
iodinating	de-iodinating
consolable	disconsolate, inconsolable, unconsolable; desolate
horizontal; flat; swimming, naiant; crosswise; level	perpendicular, vertical; straight; upright, unsloped; upended; plumb; steep
horizontal; flat; swimming, naiant; crosswise; level	inclined; sidelong; monoclinal; salient; high-pitched; low-pitched; slanted, diagonal, sloped, slanting, aslant, sloping, aslope; skew, skewed; leaning, tilted, tipped, canted, atilt; gradual; pitched; oblique
perpendicular, vertical; straight; upright, unsloped; upended; plumb; steep	inclined; sidelong; monoclinal; salient; high-pitched; low-pitched; slanted, diagonal, sloped, slanting, aslant, sloping, aslope; skew, skewed; leaning, tilted, tipped, canted, atilt; gradual; pitched; oblique
erect, upright, vertical; fastigiate; semi-climbing; passant; stand-up; semi-erect; rearing, rampant; statant; orthostatic; semi-upright; standing; erectile; unbowed, straight, unbent	unerect; accumbent, decumbent, recumbent; dormant, sleeping; prostrate, prone; drooping, weeping, pendulous, nodding, cernuous; resupine, supine; couchant; semi-prostrate; bended, bent; round-backed, hunched, stooped, stooping, crooked, round-shouldered; procumbent; prostrate, flat
standing	seated, sitting
standing	running
running; pouring, gushing; squirting, spurting, spouting, jetting	standing; stagnant, dead; slack; still
running	pass, passing
hospitable; kind, genial	inhospitable; windswept; water-washed; desolate, barren, stark, bleak, bare; unfriendly, uncongenial, hostile; waste, godforsaken, wild
hospitable; friendly; welcoming	inhospitable; unfriendly
hostile; unpeaceful; violent; antipathetical, antagonistic, antipathetic; belligerent, aggressive; at loggerheads; hateful; bitter; aggressive; unfriendly; opposing, opponent; offensive; head-on; ill; dirty; unfriendly, inimical	amicable; friendly; peaceable, peaceful; unthreatening, well-meaning; well-disposed, friendly, favorable; loveable, lovable
hot; tropic, tropical; thermal; overheated; scorching; red-hot; blistering, blistery; sweltering, sweltry; baking, baking hot; sizzling; fervid, fervent; calefactive, calefactory; calorific; warm; warming, calefacient; calorifacient; hottish; fiery, igneous; heatable; het, heated up, het up, heated; stifling, sultry, sulfurous, sulphurous; white, white-hot; torrid	cold; nippy, snappy, frosty, nipping, crisp; heatless; polar, glacial, arctic, gelid, icy, frigid; acold; unheated, unwarmed; algid; frozen; refrigerating, refrigerant; raw, bleak, cutting; chilly, parky; cool; refrigerated; stone-cold; shivery; frosty, rimed, rimy; ice-cold; frigorific; frore
vernal; spring-blooming, early-flowering, spring-flowering, late-spring-blooming, early-blooming	autumnal; late-ripening; late-blooming, fall-blooming, late-flowering, fall-flowering, autumn-flowering, autumn-blooming
vernal; spring-blooming, early-flowering, spring-flowering, late-spring-blooming, early-blooming	wintery, wintry; brumal, hiemal, hibernal; winter-blooming, winter-flowering
vernal; spring-blooming, early-flowering, spring-flowering, late-spring-blooming, early-blooming	summery; aestival, estival; summer-flowering, summer-blooming
summery; aestival, estival; summer-flowering, summer-blooming	autumnal; late-ripening; late-blooming, fall-blooming, late-flowering, fall-flowering, autumn-flowering, autumn-blooming
summery; aestival, estival; summer-flowering, summer-blooming	wintery, wintry; brumal, hiemal, hibernal; winter-blooming, winter-flowering
autumnal; late-ripening; late-blooming, fall-blooming, late-flowering, fall-flowering, autumn-flowering, autumn-blooming	wintery, wintry; brumal, hiemal, hibernal; winter-blooming, winter-flowering
hot; passionate; fiery, flaming; torrid; red-hot, sizzling; heated; sultry, sensual; white-hot	cold; emotionless, passionless; wintry, glacial, icy, frosty, frozen, frigid; cool; passionless
human; hominian, hominid; anthropomorphous, anthropomorphic, humanlike; anthropoid, manlike; frail, fallible, imperfect, weak; hominine; earthborn; hominal	nonhuman; anthropoid, apelike, anthropoidal; bloodless; unhuman, dehumanized, dehumanised; inhuman
superhuman; divine, godlike; herculean, powerful	subhuman; infrahuman
humane; merciful; human; humanist, human-centered, human-centred, humanitarian, humanistic; civilised, civilized; child-centered; compassionate	inhumane; inhuman, cold-blooded, insensate, cold; vicious, fell, roughshod, savage, brutal, cruel, barbarous; cannibalic; painful; pitiless, unkind; brute, beastly, brutish, bestial, brutal
humorous, humourous; witty; facetious, tongue-in-cheek, bantering; tragicomic, tragicomical; seriocomical, seriocomic; zany, clownish, clownlike, buffoonish; waggish; risible, amusing, funny, laughable, mirthful, comic, comical; joking, jocular, jocose, jesting; slapstick; pleasing; Gilbertian; dry, ironical, ironic, wry; farcical, ludicrous, ridiculous; sidesplitting, killing; droll; hilarious, screaming, uproarious	humorless, humourless, unhumorous; sobersided; po-faced; unfunny
hungry; empty, empty-bellied; peckish; supperless; sharp-set, ravenous, starved, famished, esurient	thirsty
hurried; flying, quick, fast; rushed, rush; fast; pell-mell, helter-skelter; precipitate, hasty, precipitant, precipitous, overhasty; hasty, headlong	unhurried; leisurely, easygoing, easy; deliberate, measured, careful
identifiable; recognizable, placeable, recognisable; diagnosable; specifiable; classifiable, distinctive; acknowledgeable	unidentifiable; intangible; elusive; unrecognisable, unrecognizable; unclassifiable; undiagnosable
immanent, subjective	transeunt, transient
impaired; dysfunctional; lessened, weakened, diminished, vitiated; injured; damaged; dickey, dicky; anosmic; broken; dyslexic, dyslectic	unimpaired; uninjured; undamaged
important, of import; valuable; strategic; all important, essential, crucial, all-important, of the essence; alpha; beta; most-valuable; measurable; grand; big; significant, important; essential; Copernican; great, outstanding; in-chief; consequential, eventful; primary, chief, principal, main, master; historic; burning; distinguished; fundamental, primal, cardinal, key, central; serious; grievous, weighty, heavy, grave	unimportant; inconsequent, inconsequential; meaningless, nonmeaningful; unimportant, insignificant; potty; inessential, unessential; indifferent, immaterial; lightweight; fiddling, lilliputian, piffling, niggling, picayune, petty, piddling, little, trivial, footling; small-time, nickel-and-dime
impressive; mind-boggling; astonishing, astounding, stupefying, staggering; gallant, majestic, lofty, proud; heroic, expansive, grand; brilliant, magnificent, splendid, glorious; thundering; signal; fulgurant, fulgurous, dazzling, eye-popping; important-looking; palatial; formidable; arresting, stunning, sensational; dramatic, striking, spectacular; grandiose; noble, imposing, stately, baronial; moving; awing, awesome, awful, awe-inspiring, amazing	unimpressive; humble; unimposing
noticeable; perceptible, detectable; evident, observable, discernible; broad; marked, pronounced; noted	unnoticeable; undistinguished, insignificant
improved; landscaped; built, reinforced; developed	unimproved; ungraded, dirt; scrub
cleared; unwooded, treeless; clear-cut; improved	uncleared; wooded; unimproved
inaugural	exaugural; valedictory
inboard	outboard; portable
inbred; interbred	outbred; exogamic, exogamous; crossbred
inclined; fond, partial; disposed, minded, tending, given, apt; prone; accident-prone; willing	disinclined; loth, averse, indisposed, antipathetical, loath, antipathetic; negative; reluctant; unwilling; afraid
incoming	outgoing
incoming; inpouring; inward, inbound; inflowing, influent; future, succeeding, next; in; designate; future; elect	outgoing; outbound, outward-bound, outward; out; effluent, outflowing; retiring, preceding, past; past
inductive; synthetical, synthetic; a posteriori	deductive; analytic, analytical; deducible; a priori; inferential; illative, inferential; illative
indulgent; self-indulgent; intemperate, hard, heavy; gay; gluttonous; luxurious, epicurean, luxuriant, sybaritic, voluptuous, voluptuary; overindulgent; effete, decadent; betting, sporting, dissipated, card-playing; pampering; hedonistic, epicurean, hedonic	nonindulgent, strict; renunciant, renunciative, self-abnegating, self-denying; severe, spartan; monkish; self-disciplined, self-restraining; austere, stern; corrective, disciplinary, disciplinal; blue, puritanical, puritanic; abstemious
industrial; progressive; highly-developed, developed; postindustrial; industrialised, industrialized	nonindustrial; underdeveloped, developing; unindustrialized, unindustrialised
infectious; contagious, transmissible, catching, transmittable, communicable, contractable; contagious; corrupting, contaminating	noninfectious; noncommunicable, noncontagious, nontransmissible
infernal; Hadean, Plutonian, Tartarean; evil; chthonic, nether, chthonian; Stygian	supernal; heavenly
informative, informatory; telltale, revealing, telling; exemplifying, illustrative; informative, instructive; newsy; advisory, consultative, consultatory, consultive	uninformative; newsless
gnostic	agnostic, agnostical; unbelieving, nescient
informed; wise, knowing, wise to; au courant, au fait, abreast, up on; enlightened; privy; advised; well-read; educated; familiar, conversant; educated, enlightened; sophisticated; hip to, hip, hep; knowing, knowledgeable	uninformed; uneducated; unadvised; naive, naif; naive, uninstructed, unenlightened; unread; clueless; unknowing, unknowledgeable, ignorant, unwitting; innocent, unacquainted; newsless; unenlightened
artless, ingenuous; naive, naif; open, candid, heart-to-heart; undistorted; sincere	artful, disingenuous; insincere; perverted, twisted, misrepresented, distorted
inhabited; colonized, settled, colonised; tenanted, occupied; rock-inhabiting; haunted; owner-occupied; underpopulated; populated; populous, thickly settled; peopled	uninhabited; abandoned, derelict, deserted; unoccupied, untenanted; unpeopled, unpopulated; depopulated; unsettled; solitary, lonely, unfrequented
heritable, inheritable; nee; inheriting; monogenic; familial, inherited, hereditary, transmissible, transmitted, genetic; hereditary, transmissible, patrimonial, ancestral; polygenic	nonheritable, noninheritable; inborn, congenital, innate; acquired; nurtural; nonhereditary, nontransmissible
inhibited; smothered, strangled, suppressed, stifled; pent-up, repressed; restrained; reserved	uninhibited; unrepressed; unreserved; unrestrained; unsuppressed; abandoned; earthy
injectable	uninjectable
injured; wounded, hurt; eviscerate; unsound; damaged; lacerate, torn, lacerated, mangled; livid, black-and-blue; impaired; broken; raw; dislocated, separated, disjointed; battle-scarred	uninjured; uncut; safe; unwounded; unimpaired; inviolate, intact; undamaged; sound; unbroken; unharmed, whole, unhurt, unscathed
clean-handed, innocent, guiltless; acquitted, not guilty; righteous; exculpated, exonerated, vindicated, absolved, cleared, clear; inculpable, blameless, unimpeachable, irreproachable; exculpatory	guilty; delinquent; guilt-ridden; finable, fineable; conscience-smitten; blamable, censurable, blameworthy, blameable, blameful, culpable; chargeable, indictable; criminal; unrighteous; punishable; inculpative, inculpatory; red-handed; at fault; bloodguilty
inspiring; exalting, ennobling	uninspiring
informative, instructive; doctrinaire; elucidative, clarifying; expository, expositive; didactical, didactic; preachy; ostensive; educative; illustrative, demonstrative; educational; explanatory; informative, informatory; interpretative, interpretive	uninstructive
edifying, enlightening	unedifying, unenlightening
enlightening, illuminating, informative	unenlightening, unilluminating
integrated; interracial, mixed; mainstreamed; joint; unsegregated, desegrated, nonsegregated; co-ed, coeducational; united; integrative	segregated, unintegrated; divided; separate; separate; quarantined, isolated; sequestered; white, lily-white
integrated; tightly knit, tight-knit; incorporated; unified, co-ordinated, coordinated, interconnected; embedded; introjected	nonintegrated, unintegrated
blended; homogenised, homogenized; alloyed	unblended; unhomogenized, unhomogenised
combined; rolled into one; occluded, sorbed; compounded; conglomerate; one	uncombined; unmixed, uncompounded
integrative; integrated; combinative, combinatory; consolidative, unifying; collective; compositional; combinative, combinatorial, combinatory; endogenic, endogenetic	disintegrative; clastic; decompositional
intellectual; reflective; scholarly; highbrowed, highbrow; serious, good; mental; sophisticated; rational; educated	nonintellectual; uncultivated, lowbrow, lowbrowed; mindless; unscholarly; anti-intellectual, philistine
intelligent; smart; scintillating; apt, clever; agile, nimble; smart, bright; quick, ready; searching, trenchant; prehensile; precocious; born, innate, natural; brainy, brilliant, smart as a whip	stupid, unintelligent; stupid; retarded; brainless, headless
intelligible; comprehendible, comprehensible	unintelligible; thick, slurred; uncomprehensible, incomprehensible
intended; motivated; planned; premeditated; witting, conscious; well-meant, well-meaning, well-intentioned; knowing, intentional; deliberate, calculated, measured	unintended; unintentional, unplanned, unwitting; unplanned; accidental, inadvertent; unmotivated; uncaused, causeless, fortuitous
designed, intentional; fashioned	undesigned
intensifying; heightening; thickening, deepening; enhancive, augmentative; aggravating, exacerbating, exasperating	moderating; mitigatory, lenitive, mitigative, alleviatory, alleviative, palliative; tempering; analgetic, analgesic, anodyne; weakening
interspecies, interspecific	intraspecies, intraspecific
interested; curious	uninterested; benumbed, dulled; indifferent, apathetic; dismissive; blase, bored
interesting; amusing, amusive, diverting; intriguing; newsworthy; stimulating; engrossing, absorbing, fascinating, gripping, riveting; exciting; entertaining	uninteresting; ponderous; narcotic, soporiferous, soporific; insipid, jejune; earthbound, pedestrian, prosaic, prosy; unstimulating, unexciting; unexciting; putdownable; dull, irksome, tiresome, tedious, boring, wearisome, deadening, slow, ho-hum
intramural; internal, intragroup	extramural; intercollegiate; intermural; outside; interscholastic, interschool
intra vires	ultra vires
intrinsic, intrinsical; internal, intimate, inner; inalienable, unalienable; essential; inherent, integral, constitutional, inbuilt, built-in	extrinsic; adscititious; adventitious; external, outside, extraneous; extraneous; foreign, alien; inessential, unessential
introspective, introverted, self-examining	extrospective, extroverted
introversive, introvertive; shut-in, introvertish; unsociable	ambiversive
introversive, introvertive; shut-in, introvertish; unsociable	extraversive, extroversive; extraverted, extrovert, extrovertive, extroverted, extravertive, extravert; sociable; extrovertish
extraversive, extroversive; extraverted, extrovert, extrovertive, extroverted, extravertive, extravert; sociable; extrovertish	ambiversive
intrusive; meddling, busybodied, officious, busy, interfering, meddlesome; trespassing, invasive, encroaching	not intrusive, unintrusive
intrusive; intruding; concave	protrusive; undershot, underhung, underslung; overshot; jutting, projecting, sticking, projected, sticking out, protruding, relieved; obtrusive; starting; beetle, beetling; ventricose, ventricous; convex, bulging; bellied, protuberant, bulbous, bulgy, bellying, bulging
eruptive, igneous	aqueous, sedimentary
intrusive; irruptive, plutonic	extrusive; volcanic
invasive; strong-growing, fast-growing, aggressive	confined
invasive	noninvasive
invigorating; bracing, brisk, fresh, refreshful, tonic, refreshing; revitalising, revitalizing, renewing, restorative, reviving; animating, enlivening; corroborant; stimulating; exhilarating, stimulating; life-giving, vitalizing	debilitating; draining, exhausting; enervating, weakening, debilitative, enfeebling
inviting; invitatory; tantalizing, tempting, tantalising; attractive; tantalizing, tantalising	uninviting; unattractive; unattractive, untempting
ex vivo, in vitro	in vivo
ironed; pressed; smoothed, smoothened; smooth	unironed, wrinkled; roughdried; unsmooth, rough; unpressed; permanent-press, drip-dry
wrinkled, wrinkly; unsmoothed; furrowed, rugged	unwrinkled, wrinkleless; unfurrowed
isotropic, isotropous; identical	anisotropic; eolotropic, aeolotropic
glad; cheerful; gladsome	sad; bittersweet; tragicomic, tragicomical; tragical, tragic; wistful, pensive; melancholy, melancholic; mournful, doleful; heavyhearted
joyful; joyous; overjoyed; happy; beatific	sorrowful; bitter; weeping, dolorous, tearful, lachrymose, dolourous; joyless; sad; elegiac; lugubrious; tortured, anguished, tormented; plaintive, mournful; unhappy; lamenting, wailful, wailing; bereaved, sorrowing, grief-stricken, bereft, grieving, mourning; woeful, woebegone; grievous, heartrending, heartbreaking; heartsick, heartbroken, brokenhearted
joyous; jolly, jovial, gay, mirthful, jocund, merry; rapt, rhapsodic, enraptured, rapturous, ecstatic; elated; happy; joyful; gay, festal, merry, festive; joyful, elated, gleeful, jubilant	joyless; unsmiling; funereal, sepulchral; uncheerful, depressing, cheerless; sorrowful; unhappy; mirthless
juicy; sappy; lush, succulent; au jus	juiceless; sapless
just; retributive, vindicatory, retributory; right; honourable, honorable; fitting, meet; righteous; conscionable; fair, just; rightful	unjust; wrongful; actionable; wrong; unrighteous; dishonourable, dishonorable; unfair, unjust
deserved, merited; condign	unmerited; undeserved; gratuitous
keyed	keyless
kind; good-natured; merciful; benign; gentle; kindhearted, kind-hearted; benignant, benign; considerate; soft; charitable, openhearted, good-hearted, kindly, large-hearted, benevolent, sympathetic; gracious, benignant	unkind; hurtful; unsympathetic, unkindly; malign; stinging, cutting, edged; merciless, unmerciful; harsh, rough
cognisable, cognoscible, cognizable, knowable	unknowable; transcendent
known; noted, notable, famed, far-famed, celebrated, illustrious, renowned, famous; identified; proverbial; acknowledged; well-known; better-known; glorious; legendary; best-known; familiar	unknown; unacknowledged; uncharted, chartless, unmapped; little-known; unidentified; unexplored, undiscovered; unbeknown, unbeknownst; unheard-of; undiagnosed; unfamiliar; inglorious
understood; comprehended, apprehended, appreciated; taken, interpreted	ununderstood; ungrasped; undigested; misunderstood; uncomprehended
labeled, tagged, labelled	unlabeled, unlabelled, untagged
lamented	unlamented, unmourned
crowned, laurelled, laureled	unlaureled, unlaurelled
big, large; extended, extensive; great; medium-large; blown-up, enlarged; king-size, king-sized; monstrous; jumbo, elephantine, giant, gargantuan; Brobdingnagian, huge, immense, vast; bear-sized; puffy, bouffant; larger, bigger; cosmic; volumed; massive; macroscopic, macroscopical; mammoth, gigantic; life-sized, full-size, lifesize, life-size; biggish, largish; capacious; monumental, monolithic, massive; sizeable, sizable, ample; oversized, outsize, oversize, outsized; bulky; grand; rangy; tremendous, enormous; heroic, larger-than-life, epic; hulking, hulky; plumping; super; voluminous; wide-ranging; deep; large-mouthed; humongous, whopping, walloping, banging, thumping; double; queen-sized, queen-size; titanic; galactic, astronomic, astronomical; large-scale; stupendous, colossal, prodigious; man-sized; large-scale; mountainous; too large, overlarge; macro; wide, spacious, broad; whacking	little, small; slim, slender; pocketable, pocket-size, pocket-sized; minuscule, miniscule; subatomic; small-scale; half-size; dwarfish; shrimpy, puny, runty; smaller, littler; olive-sized; smallish; infinitesimal, minute; atomic; elflike, elfin; gnomish; lesser; miniature; microscopical, microscopic; undersize, undersized; diminutive, bantam, lilliputian, midget, flyspeck, petite, tiny; dinky; micro; bitty, teentsy, weensy, itty-bitty, itsy-bitsy, teeny-weeny, teeny, teensy-weensy, teensy, bittie, weeny, wee
big, large; extended, extensive; great; medium-large; blown-up, enlarged; king-size, king-sized; monstrous; jumbo, elephantine, giant, gargantuan; Brobdingnagian, huge, immense, vast; bear-sized; puffy, bouffant; larger, bigger; cosmic; volumed; massive; macroscopic, macroscopical; mammoth, gigantic; life-sized, full-size, lifesize, life-size; biggish, largish; capacious; monumental, monolithic, massive; sizeable, sizable, ample; oversized, outsize, oversize, outsized; bulky; grand; rangy; tremendous, enormous; heroic, larger-than-life, epic; hulking, hulky; plumping; super; voluminous; wide-ranging; deep; large-mouthed; humongous, whopping, walloping, banging, thumping; double; queen-sized, queen-size; titanic; galactic, astronomic, astronomical; large-scale; stupendous, colossal, prodigious; man-sized; large-scale; mountainous; too large, overlarge; macro; wide, spacious, broad; whacking	little, small; slim, slender; pocketable, pocket-size, pocket-sized; minuscule, miniscule; subatomic; small-scale; half-size; dwarfish; shrimpy, puny, runty; smaller, littler; olive-sized; smallish; infinitesimal, minute; atomic; elflike, elfin; gnomish; lesser; miniature; microscopical, microscopic; undersize, undersized; diminutive, bantam, lilliputian, midget, flyspeck, petite, tiny; dinky; micro; bitty, teentsy, weensy, itty-bitty, itsy-bitsy, teeny-weeny, teeny, teensy-weensy, teensy, bittie, weeny, wee
greater	lesser
lawful; square, straight; observant, law-abiding; legal	unlawful; illegal; wrongful; crooked, corrupt; lawless, outlaw; wide-open, lawless
leaded; antiknocking, antiknock	leadless, unleaded; lead-free, nonleaded
leaky; drippy; oozy, oozing, seeping; permeable; draughty, drafty; porous, holey; unseaworthy	tight; seaworthy; impermeable; watertight; tight; hermetic; gas-tight, airtight, air-tight; snug; leakproof; rainproof, waterproofed, waterproof; dripless
caulked; chinked, stopped-up; weather-stripped	uncaulked
leavened	unleavened, unraised
leeward; downwind, lee	windward; weather, upwind
legal; court-ordered; statutory; jural, juristic; judicial; sub judice; ratified, sanctioned; lawful; legitimate, lawful, licit; legitimate	illegal; criminal, felonious; illegitimate; irregular; amerciable; extrajudicial; outlawed, illegitimate, outlaw, unlawful, illicit; prohibited, banned; under-the-counter; extralegal, nonlegal; unlawful; penal, punishable; misappropriated, embezzled; dirty, ill-gotten; black-market, black, smuggled, bootleg, contraband; ineligible; hot; unratified; mislabeled, misbranded
legible; decipherable, readable, clear; clean, fair	illegible; indecipherable, unclear, undecipherable, unreadable; marked-up, dirty, foul
deciphered	undeciphered
biological; natural; begotten	adoptive; surrogate, foster
legitimate; authorized, authorised; valid; legal; rightful, lawful, true; left-handed, morganatic; lawfully-begotten	illegitimate; unauthorised, unauthorized; illegal; adulterine; misbegot, bastardly, spurious, misbegotten; fatherless; left-handed; wrongful, unlawful; invalid; base, baseborn
leptorhine, leptorrhinic, leptorrhine, leptorrhinian	catarrhine, catarrhinian
leptorhine, leptorrhinic, leptorrhine, leptorrhinian	broadnosed, platyrrhine, platyrrhinian, platyrhine, platyrrhinic, platyrhinian
catarrhine, catarrhinian	broadnosed, platyrrhine, platyrrhinian, platyrhine, platyrrhinic, platyrhinian
leptosporangiate	eusporangiate
like, similar; look-alike; suchlike; like-minded; same	different, dissimilar, unlike
alike, like, similar	dissimilar, unalike
like, same; equal	unlike; unequal
likely; promising; liable, apt; possible; probable	unlikely; last; remote, outside; farfetched, implausible
likely, probable; verisimilar; presumptive; equiprobable	improbable, unlikely; supposed
limbed; boughed; heavy-limbed; sharp-limbed; flipper-like	limbless; boughless
limited; narrow; narrow; small-scale, small, pocket-size, modest, pocket-sized, minor	limitless, unlimited; oceanic; untrammelled, untrammeled; bottomless
direct, lineal; matrilinear, matrilineal; related; unilateral; patrilineal, patrilinear	collateral, indirect; related
additive, linear; bilinear	nonlinear
lined; silk-lined	unlined
listed	unlisted; over-the-counter, otc; ex-directory
literal; explicit, denotative; unrhetorical; exact	figurative, nonliteral; extended; synecdochical, synecdochic; poetic; metonymic, metonymical; tropical; metaphoric, metaphorical; analogical; rhetorical
literate; literary; educated; belletristic; sophisticated	illiterate
literate	illiterate; uneducated; semiliterate; functionally illiterate; semiliterate; unlettered, analphabetic; preliterate
live, unrecorded; untaped, unfilmed	recorded; prerecorded; taped, tape-recorded; filmed; transcribed, canned
livable, liveable; inhabitable, habitable	unlivable, unliveable; uninhabitable
liveried	unliveried
loaded; live; unexploded, undischarged	unloaded; blank; dud
loamy	loamless
local; localized, localised; topical	general; systemic
epidemic; pestilent, plaguey, pestilential, pestiferous; epizootic; epiphytotic; pandemic	ecdemic
epidemic; pestilent, plaguey, pestilential, pestiferous; epizootic; epiphytotic; pandemic	endemic, endemical; enzootic
ecdemic	endemic, endemical; enzootic
gloved; gauntleted	gloveless
hatted; turbaned	hatless
guided; target-hunting; radio-controlled	unguided
legged; three-legged; straight-legged; leglike	legless
logical; analytic, analytical; ratiocinative; discursive, dianoetic; formal; synthetical, synthetic; rational; logical, coherent, ordered, consistent; reasonable, sensible	illogical, unlogical; inconsequential; irrational; incoherent; visceral, nonrational, intuitive; absurd; unreasonable
extended; sprawly; outstretched; outspread, spread; spread-eagle; stretched	unextended
mini	midi
mini	maxi
midi	maxi
lossy	lossless
long; sesquipedalian, polysyllabic; lank; extendable, extendible; oblong; pole-handled, long-handled; far; elongate, elongated; long-range; long-snouted; extended, lengthened, elongated, prolonged; long-staple; stretch; long-wooled, long-wool	short; sawn-off, sawed-off, shortened; short-range; truncate, truncated; abbreviated, brief; shortish; stubby; short-snouted; close; snub; curtal; telescoped, shortened
long; bimestrial; long-range; longish; long-lived, lasting, durable, long-lasting; extended, protracted, drawn-out, lengthy, prolonged; agelong; long-life; eight-day; hourlong; longitudinal; all-night, overnight, nightlong; lifelong, womb-to-tomb; yearlong; daylong; time-consuming; long-dated; long-acting; continuing, chronic; seven-day, weeklong; endless, interminable, eternal; perennial; longstanding; monthlong; long-term, semipermanent, long-run	short; momentaneous, fugitive, fleeting, momentary; clipped; short and sweet; short-run, short-term; truncated, abbreviated, shortened; brief; short-dated; short-range
long	short
long	short
lengthways, lengthwise; end-to-end; linear, running; axial; fore-and-aft; longitudinal	crosswise; cross, transversal, thwartwise, transverse; cross-sectional, cross-section
lidded	lidless
loose; lax; sloppy, baggy, loose-fitting; flyaway	tight; snug, close, close-fitting; skin-tight, skintight; clenched, clinched; tight; tense; tightly fitting, skinny, tight-fitting, tight fitting, tightfitting; viselike; choky
constricted; narrowed; stenotic, stenosed; pinched	unconstricted; open
lost; straying; gone; wasted, squandered; stray; missing; lost; misplaced, mislaid	found; saved; recovered
lost; cursed, curst; damned, cursed, unsaved, doomed, unredeemed; ruined, destroyed; lost; unregenerate, unregenerated	saved; found; blest, blessed; salvageable; rescued, reclaimed; ransomed, redeemed; regenerate; ransomed; blessed
lost; forfeit, confiscate, forfeited	won
loud; shattering; big; loud-mouthed; earthshaking; loud-voiced; harsh-voiced; noisy; earsplitting, deafening, thunderous, thundery; blasting, blaring; hearable, audible; trumpet-like; vocal; clarion; shouted, yelled	soft; euphonious; muffled, dull, softened, muted; soft-spoken; susurrant, murmuring, whispering; small, little; susurrous, soughing, rustling, murmurous; soft-footed; low, low-toned; subdued, hushed, quiet, muted; gentle; quiet
full; round, orotund, pear-shaped, rotund; rich; sonorous, heavy; grumbling, rumbling; plangent; sounding; booming, stentorian	thin; pale
piano, soft; pianissimo assai; pianissimo	forte, loud; fortemente; fortissimo
hardened	soft
lovable, loveable; cuddlesome, cuddly; desirable; amicable; lovely, adorable, endearing; loving; angelic, seraphic, sweet, angelical, cherubic	hateful; hostile; unlovable; execrable, abominable, detestable, odious; undesirable, unwanted; offensive
liked; likeable, likable	disliked; unlikable, unlikeable; dislikable
loved; blue-eyed, white-haired, fair-haired; dear, beloved, darling; admired; pet, favorite, favourite, best-loved, preferent, favored, preferred; wanted; worshipped, adored, idolised, idolized; treasured, precious, wanted, cherished	unloved; detested, scorned, hated, despised; disinherited; unbeloved, bereft, lovelorn; rejected, spurned, jilted; unwanted; loveless; alienated, estranged
loving; touchy-feely; affectionate, tender, fond, warm, lovesome; loveable, lovable; warmhearted; attached; adoring, fond, doting; passionate; tenderhearted; soft on, smitten, taken with, potty, enamored, in love, infatuated; uxorious; amorous, romantic, amatory; amorous, amative; committed, attached; charmed, captivated; loverly, loverlike; overfond; idolatrous	unloving; frigid, cold; loveless; unromantic; unaffectionate, uncaring, detached; coldhearted
lowercase; minuscule, small, little; minuscule, minuscular	uppercase; capital, great, majuscule; majuscule
lucky; hot; serendipitous; fortunate; apotropaic	luckless, unlucky; unfortunate; hexed, jinxed
lyric	dramatic
made	unmade
magnetic, magnetized, magnetised; attractable	antimagnetic
magnetic	geographic, geographical; true
magnetic	nonmagnetic
major; better	minor
major	minor
major	minor, underage, nonaged
major	minor
major	minor
major	minor
major; prima, star, starring, leading, stellar	minor; secondary; insignificant, peanut
majuscule; uppercase; majuscular	minuscular, minuscule; lowercase
manageable; tractable, manipulable; directed; administrable; obedient; dirigible, steerable; compliant; governable, controllable	difficult, unmanageable; uncheckable; noncompliant, defiant; intractable; unruly, indocile, uncontrollable, ungovernable; disobedient
manful, manlike, manly; man-sized; masculine	unmanful, unmanly, unmanlike; epicene, sissyish, cissy, emasculate, sissified, sissy, effeminate; womanish
male; young-begetting; male; priapic, phallic; antheral, staminate; masculine; priapic	female; female; egg-producing, young-bearing; pistillate; feminine
male; young-begetting; male; priapic, phallic; antheral, staminate; masculine; priapic	androgynous; hermaphrodite, hermaphroditic; pseudohermaphroditic, pseudohermaphrodite; unisex; epicene, bisexual; intersexual; gynandromorphous, gynandromorphic
female; female; egg-producing, young-bearing; pistillate; feminine	androgynous; hermaphrodite, hermaphroditic; pseudohermaphroditic, pseudohermaphrodite; unisex; epicene, bisexual; intersexual; gynandromorphous, gynandromorphic
manned	remote-controlled, unmanned; pilotless
marked; barred; masked; scarred; well-marked; starred, asterisked	unmarked; unasterisked, unstarred
branded	unbranded
married; wedded, wed; mated; mated; ringed; joined, united	single, unmarried; unwedded, unwed; mateless; widowed; divorced; unmated
mated; matched; paired; married	unmated; single, unmarried; mateless
masculine; macho, butch; manful, manlike, manly; mannish; masculine; manful, virile, male, manlike, manly; male	feminine; fair; powder-puff; feminine; maidenlike, maidenly; female; female, distaff
feminine, womanly; matronly; womanlike	unwomanly; unfeminine; mannish; tomboyish, hoydenish
masculine; masculine	neuter
masculine; masculine	feminine; feminine
feminine; feminine	neuter
matched; matching, twinned, duplicate, twin; mated, paired; compatible; mated; one-to-one; matching, co-ordinated, coordinated	mismatched; incompatible; unmatched, odd, unpaired, unmated; unsuited, ill-sorted, mismated, incompatible
material; crucial	immaterial
